날짜	상대	이닝	투수	타자	P	결과	이전상황	이후상황	LEV	REa	WPs	WPe	WPa
2023-08-06	LG	6말	함덕주	8 이재현	2-2	우익수 안타	2사 5:1	2사 1루 5:1	0.25	0.134	6.3	7.3	0.010
2023-08-06	LG	8말	정우영	8 이재현	2-2	우익수 안타	1사 만루 7:1	1사 만루 7:2	0.92	1.000	3.6	7.3	0.037
2023-08-08	두산	1초	최승용	2 이재현	2-3	중견수 뜬공	1사 0:0	2사 0:0	0.62	-0.180	52.2	53.8	-0.016
2023-08-08	두산	4초	최승용	2 이재현	2-1	유격수 땅볼	무사 0:2	1사 0:2	1.04	-0.258	73.3	76.0	-0.027
2023-08-08	두산	6초	김명신	2 이재현	1-2	몸에 맞는 볼	1사 2루 1:5	1사 1,2루 1:5	0.86	0.246	91.1	88.9	0.023
2023-08-08	두산	8초	정철원	2 이재현	0-0	좌익수 뜬공	2사 1루 1:5	이닝종료 1:5	0.29	-0.251	98.0	98.8	-0.009
2023-08-09	두산	3초	알칸타라	8 이재현	2-1	3루수 땅볼	1사 0:0	2사 0:0	0.72	-0.180	52.5	54.3	-0.018
2023-08-09	두산	5초	알칸타라	8 이재현	2-3	중견수 뜬공	1사 1루 1:1	2사 1루 1:1	1.59	-0.322	49.7	53.5	-0.038
2023-08-11	SSG	3초	오원석	9 이재현	2-1	이재현/15034 : 삼진 아웃	1사 2루 0:2	2사 2루 0:2	1.35	-0.381	69.7	73.4	-0.038
2023-08-11	SSG	5초	오원석	9 이재현	1-1	좌익수 홈런	1사 2:2	1사 3:2	0.87	1.000	53.0	38.3	0.147
2023-08-11	SSG	7초	임준섭	9 이재현	2-2	이재현/15034 : 삼진 아웃	1사 4:2	2사 4:2	0.45	-0.180	19.6	20.7	-0.011
2023-08-11	SSG	9초	서진용	9 이재현	2-3	볼넷	1사 1,2루 4:4	1사 만루 4:4	4.62	0.679	41.9	28.5	0.135
2023-08-12	SSG	2초	맥카티	8 이재현	2-1	우익수 뜬공	2사 3루 0:0	이닝종료 0:0	1.39	-0.387	51.3	55.1	-0.038
2023-08-12	SSG	5초	맥카티	8 이재현	2-2	중견수 안타	무사 0:1	무사 1루 0:1	1.27	0.398	64.1	58.9	0.052
2023-08-12	SSG	7초	맥카티	8 이재현	2-2	중견수 안타	1사 2:1	1사 1루 2:1	0.72	0.276	32.9	30.3	0.026
2023-08-12	SSG	8초	문승원	8 이재현	0-0	투수 땅볼	2사 만루 2:2	이닝종료 2:2	5.64	-0.815	46.6	60.7	-0.141
2023-08-13	SSG	3초	김광현	8 이재현	2-0	유격수 땅볼	무사 0:2	1사 0:2	0.97	-0.258	71.5	74.0	-0.025
2023-08-16	LG	9말	고우석	7 이재현	2-0	이재현/15034 : 삼진 아웃	1사 6:3	2사 6:3	0.50	-0.180	1.8	0.5	-0.013
2023-08-17	LG	2말	켈리	8 이재현	2-3	볼넷	2사 2루 0:0	2사 1,2루 0:0	1.21	0.122	53.4	54.5	0.010
2023-08-17	LG	4말	켈리	8 이재현	2-1	포수 파울 뜬공	2사 2루 0:1	이닝종료 0:1	1.15	-0.344	67.3	64.1	-0.033
2023-08-17	LG	6말	켈리	8 이재현	0-2	좌익수 안타	2사 2루 0:3	2사 2루 0:4	0.43	1.000	90.9	95.0	0.041
2023-08-18	KIA	2말	윤영철	8 이재현	2-2	유격수 땅볼	2사 3루 0:0	이닝종료 0:0	1.41	-0.387	53.9	50.0	-0.039
2023-08-18	KIA	4말	윤영철	8 이재현	1-2	좌익수 2루타	2사 1루 0:2	이닝종료 0:2	0.58	-0.251	77.1	75.5	-0.016
2023-08-18	KIA	5말	김유신	8 이재현	2-2	좌익수 2루타	2사 0:8	2사 2루 0:8	0.01	0.227	99.3	99.4	0.001
2023-08-18	KIA	6말	김재열	8 이재현	2-0	이재현/15034 : 삼진 아웃	2사 1,2루 0:9	이닝종료 0:9	0.01	-0.466	99.8	99.8	-0.000
2023-08-19	KIA	3말	산체스	8 이재현	1-0	좌익수 안타	무사 0:0	무사 1루 0:0	0.99	0.398	55.5	59.5	0.040
2023-08-19	KIA	4말	산체스	8 이재현	2-2	우익수 안타	1사 1:4	1사 1루 1:4	0.30	0.276	85.3	86.4	0.011
2023-08-20	KIA	3말	황동하	8 이재현	1-3	볼넷	무사 0:0	무사 1루 0:0	0.99	0.398	55.5	59.5	0.040
2023-08-20	KIA	5말	황동하	8 이재현	1-0	3루수 땅볼	무사 0:2	1사 0:2	0.57	-0.258	81.5	80.1	-0.014
2023-08-20	KIA	6말	전상현	8 이재현	0-0	투수 희생번트	무사 1,2루 3:3	1사 2,3루 3:3	2.44	-0.106	70.0	70.3	0.003
2023-08-20	KIA	7말	최지민	8 이재현	0-3	볼넷	2사 2,3루 4:6	2사 만루 4:6	0.90	0.181	89.3	89.7	0.005
2023-08-22	한화	2초	이태양	8 이재현	2-1	1루수 땅볼	2사 1,3루 0:0	이닝종료 0:0	1.86	-0.538	50.0	55.1	-0.051
2023-08-22	한화	5초	이태양	8 이재현	0-1	유격수 땅볼	무사 1:0	1사 1:0	0.94	-0.258	35.9	38.3	-0.024
2023-08-22	한화	7초	김범수	8 이재현	2-2	이재현/15034 : 삼진 아웃	2사 1:0	이닝종료 1:0	0.50	-0.117	34.7	36.0	-0.013
2023-08-22	한화	9초	박상원	8 이재현	1-1	우익수 안타[실책포함]	2사 1,2루 2:2	2사 2루 4:2	4.46	1.878	52.3	7.8	0.445
2023-08-25	키움	2말	안우진	7 이재현	2-1	2루수 안타	1사 6:0	1사 1루 6:0	0.29	0.276	7.0	8.2	0.012
2023-08-25	키움	4말	안우진	7 이재현	1-0	좌익수 뜬공	1사 6:1	2사 6:1	0.36	-0.180	7.5	6.6	-0.009
2023-08-25	키움	6말	안우진	7 이재현	0-3	볼넷	1사 7:2	1사 1루 7:2	0.30	0.276	4.2	5.6	0.014
2023-08-25	키움	8말	이명종	7 이재현	2-2	이재현/15034 : 2루수 직선타 아웃	2사 2루 7:2	이닝종료 7:2	0.20	-0.344	1.2	0.6	-0.006
2023-08-26	키움	2말	후라도	6 이재현	2-3	볼넷	1사 2루 1:0	1사 1,2루 1:0	1.38	0.246	46.1	48.4	0.023
2023-08-26	키움	3말	후라도	6 이재현	0-3	볼넷	2사 1,3루 1:1	2사 만루 1:1	2.00	0.277	55.5	58.0	0.025
2023-08-26	키움	6말	후라도	6 이재현	1-0	2루수 땅볼	무사 5:1	1사 5:1	0.74	-0.258	9.4	7.5	-0.019
2023-08-26	키움	8말	문성현	6 이재현	1-3	볼넷	무사 5:2	무사 1루 5:2	1.05	0.398	8.4	13.4	0.049
2023-08-27	키움	2말	김선기	8 이재현	0-1	중견수 희생플라이	1사 3루 0:0	2사 0:1	1.45	0.134	60.0	62.4	0.023
2023-08-27	키움	4말	김선기	8 이재현	0-0	좌익수 뜬공	무사 0:4	1사 0:4	0.26	-0.258	91.5	90.8	-0.007
2023-08-27	키움	6말	윤석원	8 이재현	2-3	중견수 뜬공	무사 2루 0:5	1사 3루 0:5	0.11	-0.206	98.2	98.1	-0.001
2023-08-31	KT	2초	벤자민	8 이재현	2-2	유격수 내야안타	2사 1,3루 0:1	2사 1,2루 1:1	1.90	0.928	60.5	50.7	0.098
2023-08-31	KT	4초	벤자민	8 이재현	1-0	2루수 땅볼	1사 3:3	2사 3:3	0.78	-0.180	52.7	54.7	-0.019
2023-08-31	KT	7초	벤자민	8 이재현	2-2	유격수 뜬공	무사 3:5	1사 3:5	1.34	-0.258	81.9	85.3	-0.034
2023-08-31	KT	9초	김재윤	8 이재현	2-1	우익수 뜬공	무사 4:6	1사 4:6	1.50	-0.258	92.6	96.5	-0.038
2023-09-01	NC	1말	태너	1 이재현	2-1	유격수 뜬공	무사 3:0	1사 3:0	0.83	-0.258	26.2	24.1	-0.021
2023-09-01	NC	3말	태너	1 이재현	1-0	3루수 땅볼	1사 1루 4:0	2사 2루 4:0	0.99	-0.229	16.1	14.3	-0.018
2023-09-01	NC	6말	태너	1 이재현	2-0	이재현/15034 : 삼진 아웃	무사 5:0	1사 5:0	0.49	-0.258	5.4	4.2	-0.012
2023-09-02	NC	2말	이재학	8 이재현	2-3	중견수 뜬공	2사 1루 0:0	이닝종료 0:0	0.84	-0.251	52.4	50.0	-0.024
2023-09-02	NC	5말	이재학	8 이재현	2-2	3루수 땅볼	1사 2:0	2사 2:0	0.87	-0.180	25.2	23.1	-0.022
2023-09-02	NC	7말	김영규	8 이재현	2-3	우익수 3루타	1사 4:1	1사 3루 4:1	0.70	0.686	9.6	15.8	0.062
2023-09-03	NC	2말	최성영	6 이재현	1-3	볼넷	무사 1루 1:0	무사 1,2루 1:0	1.65	0.620	48.1	54.4	0.063
2023-09-03	NC	3말	최성영	6 이재현	2-3	2루수 뜬공	2사 1,2루 1:0	이닝종료 1:0	2.02	-0.466	42.7	37.5	-0.052
2023-09-03	NC	4말	이용준	6 이재현	2-3	유격수 땅볼	1사 2루 1:6	2사 2루 1:6	0.23	-0.381	95.2	94.6	-0.007
2023-09-03	NC	6말	송명기	6 이재현	2-3	우익수 안타	1사 1:6	1사 1루 1:6	0.07	0.276	97.3	97.5	0.002
2023-09-05	롯데	2초	윌커슨	7 이재현	1-2	중견수 안타	2사 2루 0:4	2사 1루 1:4	0.73	0.907	86.0	80.5	0.055
2023-09-05	롯데	5초	윌커슨	7 이재현	0-3	볼넷	무사 1:5	무사 1루 1:5	0.66	0.398	90.0	87.0	0.030
2023-09-05	롯데	6초	윌커슨	7 이재현	2-1	이재현/15034 : 삼진 아웃	1사 1,2루 3:7	2사 1,2루 3:7	1.57	-0.505	88.9	92.4	-0.036
2023-09-05	롯데	8초	진승현	7 이재현	0-0	유격수 병살타	1사 1루 3:10	이닝종료 3:10	0.07	-0.573	99.6	99.9	-0.003
2023-09-06	롯데	2초	나균안	8 이재현	2-2	우익수 희생플라이	1사 만루 0:0	2사 1,3루 1:0	2.68	-0.112	39.7	39.4	0.003
2023-09-06	롯데	4초	나균안	8 이재현	0-0	1루수 뜬공	1사 2루 1:0	2사 2루 1:0	1.26	-0.381	35.5	39.1	-0.035
2023-09-06	롯데	6초	나균안	8 이재현	2-2	2루수 땅볼	2사 2루 1:0	이닝종료 1:0	1.36	-0.344	35.4	39.2	-0.038
2023-09-06	롯데	8초	김진욱	8 이재현	1-3	볼넷	1사 2루 3:2	1사 1,2루 3:2	1.26	0.246	23.1	21.7	0.014
2023-09-06	롯데	9초	김강현	8 이재현	1-2	몸에 맞는 볼	2사 7:2	2사 1루 7:2	0.02	0.134	0.7	0.7	0.000
2023-09-07	롯데	2초	심재민	7 이재현	2-2	삼진	2사 1:0	이닝종료 1:0	0.39	-0.117	43.0	44.0	-0.010
2023-09-07	롯데	5초	심재민	7 이재현	1-2	3루수 뜬공	무사 1:0	1사 1:0	0.94	-0.258	35.9	38.3	-0.024
2023-09-07	롯데	8초	김상수	7 이재현	2-3	이재현/15034 : 삼진 아웃	무사 1:1	1사 1:1	1.85	-0.258	50.0	54.7	-0.047
2023-09-07	롯데	10초	구승민	7 이재현	1-3	중견수 안타	2사 1:1	2사 1루 1:1	1.32	0.134	60.4	57.3	0.031
2023-09-08	두산	2초	최승용	8 이재현	1-3	우익수 뜬공	1사 2루 2:0	2사 3루 2:0	0.95	-0.338	28.4	30.8	-0.023
2023-09-08	두산	4초	최승용	8 이재현	2-0	이재현/15034 : 유격수 직선타 아웃	1사 2루 2:0	2사 2루 2:0	0.97	-0.381	25.2	27.9	-0.027
2023-09-08	두산	6초	김명신	8 이재현	1-1	좌익수 2루타	1사 1,2루 2:4	1사 2,3루 3:4	2.87	1.496	72.4	51.9	0.205
2023-09-08	두산	7초	이영하	8 이재현	2-1	유격수 땅볼	1사 2,3루 6:5	2사 1,3루 6:5	1.66	-0.929	21.1	30.4	-0.093
2023-09-08	두산	9초	홍건희	8 이재현	1-0	1루수 희생번트	무사 2루 7:6	1사 3루 7:6	0.78	-0.206	11.5	11.8	-0.003
2023-09-09	두산	2초	브랜든	6 이재현	0-3	볼넷	무사 0:0	무사 1루 0:0	0.93	0.398	50.0	46.2	0.038
2023-09-09	두산	2초	장원준	8 이재현	2-1	유격수 땅볼	2사 2:0	이닝종료 2:0	0.33	-0.117	32.9	33.7	-0.009
2023-09-09	두산	4초	브랜든	6 이재현	2-2	이재현/15034 : 삼진 아웃	1사 1루 0:3	2사 1루 0:3	1.15	-0.322	81.5	84.3	-0.028
2023-09-09	두산	4초	장원준	8 이재현	1-0	우익수 뜬공	2사 2루 3:1	이닝종료 3:1	0.95	-0.344	27.9	30.6	-0.027
2023-09-09	두산	6초	박신지	8 이재현	1-0	좌익수 2루타	2사 3:1	2사 2루 3:1	0.33	0.227	24.6	22.8	0.018
2023-09-09	두산	7초	브랜든	6 이재현	0-0	좌익수 안타	1사 0:3	1사 1루 0:3	0.59	0.276	92.0	89.3	0.027
2023-09-09	두산	8초	박신지	8 이재현	1-0	중견수 안타	1사 2루 3:1	1사 2루 4:1	0.68	1.000	12.2	6.3	0.059
2023-09-09	두산	9초	정철원	6 이재현	0-1	투수 땅볼	2사 0:4	이닝종료 0:4	0.04	-0.117	99.9	100.0	-0.001
2023-09-10	두산	2초	알칸타라	6 이재현	1-0	3루수 땅볼	1사 1루 0:0	2사 1루 0:0	1.23	-0.322	49.8	52.7	-0.030
2023-09-10	두산	4초	알칸타라	6 이재현	2-0	중견수 뜬공	무사 0:3	1사 0:3	0.88	-0.258	81.8	84.0	-0.022
2023-09-10	두산	6초	알칸타라	6 이재현	0-1	3루수 땅볼 실책[실책포함]	1사 1루 0:6	1사 2,3루 0:6	0.32	0.894	97.4	95.0	0.024
