날짜	상대	이닝	투수	타자	P	결과	이전상황	이후상황	LEV	REa	WPs	WPe	WPa
2023-06-15	LG	6초	이정용	7 이재현	0-1	1루수 파울 뜬공	무사 3:1	1사 3:1	0.66	-0.258	21.7	23.4	-0.017
2023-06-16	KT	2초	벤자민	5 이재현	1-1	중견수 2루타	1사 0:0	1사 2루 0:0	0.65	0.428	52.4	48.1	0.043
2023-06-16	KT	3초	벤자민	5 이재현	2-2	3루수 땅볼	1사 2루 5:0	2사 2루 5:0	0.36	-0.381	8.5	9.5	-0.010
2023-06-16	KT	6초	벤자민	5 이재현	1-1	2루수 땅볼	무사 5:2	1사 5:2	0.43	-0.258	13.4	14.4	-0.011
2023-06-16	KT	8초	이상동	5 이재현	2-2	이재현/15034 : 삼진 아웃	1사 1루 6:4	2사 1루 6:4	0.65	-0.322	13.3	14.9	-0.016
2023-06-17	KT	2초	쿠에바스	5 이재현	2-2	이재현/15034 : 삼진 아웃	1사 0:1	2사 0:1	0.68	-0.180	63.0	64.7	-0.017
2023-06-17	KT	4초	쿠에바스	5 이재현	1-1	유격수 땅볼	2사 0:1	이닝종료 0:1	0.51	-0.117	67.4	68.8	-0.013
2023-06-17	KT	5초	손동현	5 이재현	2-1	1루수 땅볼	2사 만루 3:1	이닝종료 3:1	2.16	-0.815	22.9	28.4	-0.055
2023-06-17	KT	8초	박영현	5 이재현	2-2	유격수 뜬공	무사 3:6	1사 3:6	0.88	-0.258	93.1	95.3	-0.022
2023-06-18	KT	2초	엄상백	8 이재현	2-2	이재현/15034 : 삼진 아웃	1사 1루 1:0	2사 1루 1:0	1.10	-0.322	39.3	41.9	-0.026
2023-06-18	KT	5초	엄상백	8 이재현	1-1	우익수 안타	무사 1:2	무사 1루 1:2	1.27	0.398	64.1	58.9	0.052
2023-06-18	KT	6초	전용주	8 이재현	2-3	우익수 2루타	1사 5:5	1사 2루 5:5	0.98	0.428	53.4	47.1	0.063
2023-06-18	KT	8초	김민수	8 이재현	0-1	좌익수 2루타	무사 6:5	무사 2루 6:5	0.90	0.634	25.2	18.8	0.064
