AREA	LEVEL	DAY	PERIOD	DEPOSIT	RENT	CONTRACT	RENEWAL	DEPOSIT_PREV	RENT_PREV	DROPPED
12월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
84.99	5	14	22.10~23.10	65,000	0	갱신	사용	62,000	0	보기
84.99	13	14	22.10~24.10	70,000	0	갱신	-	58,000	0	보기
152.1	9	14	22.11~24.11	88,000	0	-	-	-	-	보기
59.99	11	13	22.11~24.11	5,000	170	신규	-	-	-	보기
84.99	9	13	22.10~24.10	68,000	0	갱신	사용	65,000	0	보기
84.99	3	11	-	5,000	225	갱신	-	5,000	190	보기
59.99	15	10	-	44,000	0	-	-	-	-	보기
59.99	1	8	22.10~24.10	44,100	0	갱신	사용	42,000	0	보기
59.99	15	8	23.01~25.01	55,000	0	신규	-	-	-	보기
59.99	15	8	-	55,000	0	-	-	-	-	보기
59.99	15	8	-	55,000	0	-	-	-	-	보기
84.99	5	8	22.11~24.11	46,000	40	갱신	사용	46,000	30	보기
84.99	5	8	22.12~24.12	75,000	0	신규	-	-	-	보기
119.63	12	8	22.10~24.10	95,000	0	갱신	-	75,000	0	보기
128.81	6	8	22.11~24.11	93,500	0	신규	-	-	-	보기
84.99	21	7	22.11~24.11	42,000	84	갱신	-	40,000	80	보기
84.99	8	7	-	57,200	87	-	-	-	-	보기
152.1	2	7	-	93,000	0	-	-	-	-	보기
59.99	2	6	22.10~24.10	49,350	0	갱신	사용	47,000	0	보기
84.99	10	6	22.10~24.10	66,000	0	갱신	사용	63,000	0	보기
59.99	3	5	22.12~24.12	20,000	125	신규	-	-	-	보기
84.99	5	5	22.10~24.10	60,100	0	갱신	-	60,000	0	보기
128.81	14	4	-	10,000	280	-	-	-	-	보기
59.99	8	3	22.10~24.10	54,600	0	갱신	사용	52,000	0	보기
9월										
전용면적(㎡)	층	계약일	계약기간	"보증금
(만원)"	"월세
(만원)"	계약구분	"갱신요구권
사용"	"종전계약
보증금
(만원)"	"종전계약
월세
(만원)"	전산공부
59.99	1	30	22.11~24.11	70,000	0	신규	-	-	-	보기
84.99	7	30	22.12~24.12	37,000	68	신규	-	-	-	보기
84.99	12	30	22.11~24.11	65,000	42	갱신	-	60,900	0	보기
84.99	15	29	22.11~24.11	68,200	0	갱신	사용	65,000	0	보기
59.99	17	27	22.11~24.11	20,000	140	신규	-	-	-	보기
84.99	12	27	22.11~23.11	20,000	150	갱신	-	20,000	120	보기
84.99	3	27	22.10~24.10	70,000	0	갱신	사용	67,000	0	보기
84.99	14	27	22.12~24.12	76,000	0	신규	-	-	-	보기
84.99	11	26	22.10~24.10	49,000	0	갱신	-	49,000	0	보기
128.81	14	26	-	88,000	0	갱신	-	85,000	0	보기
128.81	16	26	22.12~24.12	110,000	0	신규	-	-	-	보기
152.1	9	25	22.10~24.10	120,000	0	갱신	-	95,000	0	보기
59.99	5	24	22.09~22.12	46,000	71	갱신	-	46,000	0	보기
59.99	8	24	22.09~24.09	53,550	0	갱신	사용	51,000	0	보기
59.99	15	23	22.10~24.10	26,000	90	신규	-	-	-	보기
59.99	15	23	-	26,000	90	-	-	-	-	보기
59.99	4	22	-	50,000	0	-	-	-	-	보기
84.99	11	22	22.09~24.09	69,300	0	갱신	사용	66,000	0	보기
84.99	1	22	22.12~24.12	79,500	0	신규	-	-	-	보기
84.99	7	21	22.10~22.12	37,000	68	갱신	-	37,000	59	보기
84.99	17	20	22.09~24.09	62,800	0	갱신	-	59,850	0	보기
59.99	9	19	22.11~24.11	50,700	0	갱신	-	48,300	0	보기
84.99	9	17	-	21,000	137	갱신	사용	20,000	130	보기
128.81	9	16	22.10~24.10	60,000	150	신규	-	-	-	보기
152.1	6	16	22.09~24.09	97,600	0	갱신	사용	93,000	0	보기
152.1	6	16	-	97,600	0	-	-	-	-	보기
84.99	4	15	22.11~24.11	15,000	230	신규	-	-	-	보기
128.81	12	8	22.11~24.11	70,000	110	신규	-	-	-	보기
84.99	7	6	22.10~24.10	40,000	120	신규	-	-	-	보기
84.99	16	5	22.10~24.10	20,000	160	갱신	-	30,000	55	보기
84.99	20	5	22.09~24.09	55,500	0	갱신	사용	53,000	0	보기
84.99	20	5	-	55,500	0	-	-	-	-	보기
84.99	8	5	22.10~24.10	75,000	0	신규	-	-	-	보기
128.81	16	5	22.11~24.11	95,000	0	신규	-	-	-	보기
84.99	2	3	22.11~24.11	15,000	220	신규	-	-	-	보기
84.99	2	3	-	15,000	220	-	-	-	-	보기
128.81	12	3	22.09~24.09	45,000	150	신규	-	-	-	보기
128.81	4	3	22.11~24.11	89,000	0	신규	-	-	-	보기
59.99	6	2	22.10~24.10	55,000	0	갱신	사용	53,000	0	보기
